county,precinct,office,district,party,candidate,votes
Livingston,"Deerfield Township, Precinct 2",Straight Party,,LIB,Libertarian Party,8
Livingston,"Deerfield Township, Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Deerfield Township, Precinct 2",Straight Party,,WCP,Working Class Party,4
Livingston,"Deerfield Township, Precinct 2",Straight Party,,GRN,Green Party,4
Livingston,"Deerfield Township, Precinct 2",Straight Party,,NLP,Natural Law Party,0
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Cast Votes,694
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Undervotes,567
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Overvotes,0
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Rejected,0
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Unassigned,0
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Absentee,426
Livingston,"Deerfield Township, Precinct 2",Straight Party,,,Election,835
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,DEM,Democratic Party,280
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,REP,Republican Party,400
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,LIB,Libertarian Party,3
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,WCP,Working Class Party,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,GRN,Green Party,1
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,NLP,Natural Law Party,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Cast Votes,684
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Undervotes,617
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Absentee,571
Livingston,"Genoa Charter Township,Precinct 1",Straight Party,,,Election,730
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,DEM,Democratic Party,140
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,REP,Republican Party,189
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,LIB,Libertarian Party,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,WCP,Working Class Party,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,GRN,Green Party,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,NLP,Natural Law Party,1
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Cast Votes,331
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Undervotes,279
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Absentee,204
Livingston,"Genoa Charter Township,Precinct 2",Straight Party,,,Election,406
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,DEM,Democratic Party,306
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,REP,Republican Party,414
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,LIB,Libertarian Party,4
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,WCP,Working Class Party,5
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,GRN,Green Party,0
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,NLP,Natural Law Party,0
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Cast Votes,730
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Undervotes,498
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Absentee,558
Livingston,"Genoa Charter Township,Precinct 3",Straight Party,,,Election,670
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,DEM,Democratic Party,239
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,REP,Republican Party,279
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,LIB,Libertarian Party,3
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,WCP,Working Class Party,1
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,GRN,Green Party,1
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,NLP,Natural Law Party,0
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,,Cast Votes,524
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,,Undervotes,562
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 4",Straight Party,,,Unassigned,0
