county,precinct,office,district,party,candidate,votes
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Absentee,558
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Election,670
Livingston,"Genoa Charter Township,Precinct 3",Secretary of State,,,Total,1228
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,DEM,Jocelyn Benson,579
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,REP,Kristina Elaine Karamo,463
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,LIB,Gregory Scott Stempfle,18
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,UST,Christine C. Schwartz,3
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,GRN,Larry James Hutchinson Jr.,4
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Cast Votes,1067
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Undervotes,20
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Rejected,0
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Absentee,546
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Election,541
Livingston,"Genoa Charter Township,Precinct 4",Secretary of State,,,Total,1087
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,DEM,Jocelyn Benson,288
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,REP,Kristina Elaine Karamo,433
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,LIB,Gregory Scott Stempfle,10
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,UST,Christine C. Schwartz,6
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Cast Votes,740
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Undervotes,9
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Overvotes,0
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Absentee,273
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Election,477
Livingston,"Genoa Charter Township,Precinct 5",Secretary of State,,,Total,750
Livingston,"Genoa Charter Township,Precinct 6",Secretary of State,,DEM,Jocelyn Benson,769
Livingston,"Genoa Charter Township,Precinct 6",Secretary of State,,REP,Kristina Elaine Karamo,999
